0.001000	-33.871783	0.039599    50
0.003000	-33.799515	0.018388    50
0.005000	-33.745711	0.014532    50
0.007000	-33.658693	0.011851    50
0.009000	-33.560536	0.009341    50
0.001000	-33.871176	0.028646    80
0.003000	-33.811791	0.015347    80
0.005000	-33.769788	0.012252    80
0.007000	-33.677135	0.009935    80
0.009000	-33.579428	0.008287    80
0.001000	-33.836989	0.023732    100
0.003000	-33.845200	0.013399    100
0.005000	-33.765742	0.010161    100
0.007000	-33.683490	0.008055    100
0.009000	-33.585000	0.006678    100
0.001000	-33.886545	0.022741    120
0.003000	-33.808698	0.014180    120
0.005000	-33.764562	0.008762    120
0.007000	-33.683969	0.007573    120
0.009000	-33.578111	0.005997    120
0.001000	-33.870468	0.018108    150
0.003000	-33.825187	0.010902    150
0.005000	-33.783497	0.008203    150
0.007000	-33.680938	0.006140    150
0.009000	-33.590607	0.005765    150



